axis1,axis2,has_valid_solution,solutions_count
0.0890118,0.651008,0,0
0.0890118,0.697259,0,0
0.0890118,0.74351,0,0
0.0890118,0.789761,0,0
0.0890118,0.836013,0,0
0.0890118,0.882264,0,0
0.0890118,0.928515,0,0
0.0890118,0.974766,0,0
0.0890118,1.02102,0,0
0.0890118,1.06727,0,0
0.0890118,1.11352,0,0
0.0890118,1.15977,0,0
0.0890118,1.20602,0,0
0.0890118,1.25227,0,0
0.0890118,1.29852,0,0
0.0890118,1.34478,0,0
0.0890118,1.39103,0,0
0.0890118,1.43728,0,0
0.0890118,1.48353,0,0
0.103847,-3.09534,0,0
0.103847,-3.04909,0,0
0.103847,-3.00284,0,0
0.103847,-2.95659,0,0
0.103847,-2.91034,0,0
0.103847,-2.86409,0,0
0.103847,-2.81783,0,0
0.103847,-2.77158,0,0
0.103847,-2.72533,0,0
0.103847,-2.67908,0,0
0.103847,-2.63283,0,0
0.103847,-2.58658,0,0
0.103847,-2.54033,0,0
0.103847,-2.49408,0,0
0.103847,-2.44782,0,0
0.103847,-2.40157,0,0
0.103847,-2.35532,0,0
0.103847,-2.30907,0,0
0.103847,-2.26282,0,0
0.103847,-2.21657,0,0
0.103847,-2.17032,0,0
0.103847,-2.12407,0,0
0.103847,-2.07781,0,0
0.103847,-2.03156,0,0
0.103847,-1.98531,0,0
0.103847,-1.93906,0,0
0.103847,-1.89281,0,0
0.103847,-1.84656,0,0
0.103847,-1.80031,0,0
0.103847,-1.75406,0,0
0.103847,-1.7078,0,0
0.103847,-1.66155,0,0
0.103847,-1.6153,0,0
0.103847,-1.56905,0,0
0.103847,-1.5228,0,0
0.103847,-1.47655,0,0
0.103847,-1.4303,1,2
0.103847,-1.38405,0,0
0.103847,-1.33779,0,0
0.103847,-1.29154,0,0
0.103847,-1.24529,0,0
0.103847,-1.19904,0,0
0.103847,-1.15279,0,0
0.103847,-1.10654,0,0
0.103847,-1.06029,0,0
0.103847,-1.01404,0,0
0.103847,-0.967785,0,0
0.103847,-0.921534,0,0
0.103847,-0.875283,0,0
0.103847,-0.829031,0,0
0.103847,-0.78278,0,0
0.103847,-0.736529,0,0
0.103847,-0.690278,0,0
0.103847,-0.644026,0,0
0.103847,-0.597775,0,0
0.103847,-0.551524,0,0
0.103847,-0.505273,0,0
0.103847,-0.459022,0,0
0.103847,-0.41277,0,0
0.103847,-0.366519,0,0
0.103847,-0.320268,0,0
0.103847,-0.274017,0,0
0.103847,-0.227765,0,0
0.103847,-0.181514,0,0
0.103847,-0.135263,0,0
0.103847,-0.0890118,0,0
0.103847,-0.0427606,0,0
0.103847,0.00349066,0,0
0.103847,0.0497419,0,0
0.103847,0.0959931,0,0
0.103847,0.142244,0,0
0.103847,0.188496,0,0
0.103847,0.234747,0,0
0.103847,0.280998,0,0
0.103847,0.327249,0,0
0.103847,0.3735,0,0
0.103847,0.419752,0,0
0.103847,0.466003,0,0
0.103847,0.512254,0,0
0.103847,0.558505,0,0
0.103847,0.604757,0,0
0.103847,0.651008,0,0
0.103847,0.697259,0,0
0.103847,0.74351,0,0
0.103847,0.789761,0,0
0.103847,0.836013,0,0
0.103847,0.882264,0,0
0.103847,0.928515,0,0
0.103847,0.974766,0,0
0.103847,1.02102,0,0
0.103847,1.06727,0,0
0.103847,1.11352,0,0
0.103847,1.15977,0,0
0.103847,1.20602,0,0
0.103847,1.25227,0,0
0.103847,1.29852,0,0
0.103847,1.34478,0,0
0.103847,1.39103,0,0
0.103847,1.43728,0,0
0.103847,1.48353,0,0
0.118682,-3.09534,0,0
0.118682,-3.04909,0,0
0.118682,-3.00284,0,0
0.118682,-2.95659,0,0
0.118682,-2.91034,0,0
0.118682,-2.86409,0,0
0.118682,-2.81783,0,0
0.118682,-2.77158,0,0
0.118682,-2.72533,0,0
0.118682,-2.67908,0,0
0.118682,-2.63283,0,0
0.118682,-2.58658,0,0
0.118682,-2.54033,0,0
0.118682,-2.49408,0,0
0.118682,-2.44782,0,0
0.118682,-2.40157,0,0
0.118682,-2.35532,0,0
0.118682,-2.30907,0,0
0.118682,-2.26282,0,0
0.118682,-2.21657,0,0
0.118682,-2.17032,0,0
0.118682,-2.12407,0,0
0.118682,-2.07781,0,0
0.118682,-2.03156,0,0
0.118682,-1.98531,0,0
0.118682,-1.93906,0,0
0.118682,-1.89281,0,0
0.118682,-1.84656,0,0
0.118682,-1.80031,0,0
0.118682,-1.75406,0,0
0.118682,-1.7078,0,0
0.118682,-1.66155,0,0
0.118682,-1.6153,0,0
0.118682,-1.56905,0,0
0.118682,-1.5228,0,0
0.118682,-1.47655,0,0
0.118682,-1.4303,1,1
0.118682,-1.38405,0,0
0.118682,-1.33779,0,0
0.118682,-1.29154,0,0
0.118682,-1.24529,0,0
0.118682,-1.19904,0,0
0.118682,-1.15279,0,0
0.118682,-1.10654,0,0
0.118682,-1.06029,0,0
0.118682,-1.01404,0,0
0.118682,-0.967785,0,0
0.118682,-0.921534,0,0
0.118682,-0.875283,0,0
0.118682,-0.829031,0,0
0.118682,-0.78278,0,0
0.118682,-0.736529,0,0
0.118682,-0.690278,0,0
0.118682,-0.644026,0,0
0.118682,-0.597775,0,0
0.118682,-0.551524,0,0
0.118682,-0.505273,0,0
0.118682,-0.459022,0,0
0.118682,-0.41277,0,0
0.118682,-0.366519,0,0
0.118682,-0.320268,0,0
0.118682,-0.274017,0,0
0.118682,-0.227765,0,0
0.118682,-0.181514,0,0
0.118682,-0.135263,0,0
0.118682,-0.0890118,0,0
0.118682,-0.0427606,0,0
0.118682,0.00349066,0,0
0.118682,0.0497419,0,0
0.118682,0.0959931,0,0
0.118682,0.142244,0,0
0.118682,0.188496,0,0
0.118682,0.234747,0,0
0.118682,0.280998,0,0
0.118682,0.327249,0,0
0.118682,0.3735,0,0
0.118682,0.419752,0,0
0.118682,0.466003,0,0
0.118682,0.512254,0,0
0.118682,0.558505,0,0
0.118682,0.604757,0,0
0.118682,0.651008,0,0
0.118682,0.697259,0,0
0.118682,0.74351,0,0
0.118682,0.789761,0,0
0.118682,0.836013,0,0
0.118682,0.882264,0,0
0.118682,0.928515,0,0
0.118682,0.974766,0,0
0.118682,1.02102,0,0
0.118682,1.06727,0,0
0.118682,1.11352,0,0
0.118682,1.15977,0,0
0.118682,1.20602,0,0
0.118682,1.25227,0,0
0.118682,1.29852,0,0
0.118682,1.34478,0,0
0.118682,1.39103,0,0
0.118682,1.43728,0,0
0.118682,1.48353,0,0
0.133518,-3.09534,0,0
0.133518,-3.04909,0,0
0.133518,-3.00284,0,0
0.133518,-2.95659,0,0
0.133518,-2.91034,0,0
0.133518,-2.86409,0,0
0.133518,-2.81783,0,0
0.133518,-2.77158,0,0
0.133518,-2.72533,0,0
0.133518,-2.67908,0,0
0.133518,-2.63283,0,0
0.133518,-2.58658,0,0
0.133518,-2.54033,0,0
0.133518,-2.49408,0,0
0.133518,-2.44782,0,0
0.133518,-2.40157,0,0
0.133518,-2.35532,0,0
0.133518,-2.30907,0,0
0.133518,-2.26282,0,0
0.133518,-2.21657,0,0
0.133518,-2.17032,0,0
0.133518,-2.12407,0,0
0.133518,-2.07781,0,0
0.133518,-2.03156,0,0
0.133518,-1.98531,0,0
0.133518,-1.93906,0,0
0.133518,-1.89281,0,0
0.133518,-1.84656,0,0
0.133518,-1.80031,0,0
0.133518,-1.75406,0,0
0.133518,-1.7078,0,0
0.133518,-1.66155,0,0
0.133518,-1.6153,0,0
0.133518,-1.56905,0,0
0.133518,-1.5228,0,0
0.133518,-1.47655,1,1
0.133518,-1.4303,1,1
0.133518,-1.38405,0,0
0.133518,-1.33779,0,0
0.133518,-1.29154,0,0
0.133518,-1.24529,0,0
0.133518,-1.19904,0,0
0.133518,-1.15279,0,0
0.133518,-1.10654,0,0
0.133518,-1.06029,0,0
0.133518,-1.01404,0,0
0.133518,-0.967785,0,0
0.133518,-0.921534,0,0
0.133518,-0.875283,0,0
0.133518,-0.829031,0,0
0.133518,-0.78278,0,0
0.133518,-0.736529,0,0
0.133518,-0.690278,0,0
0.133518,-0.644026,0,0
0.133518,-0.597775,0,0
0.133518,-0.551524,0,0
0.133518,-0.505273,0,0
0.133518,-0.459022,0,0
0.133518,-0.41277,0,0
0.133518,-0.366519,0,0
0.133518,-0.320268,0,0
0.133518,-0.274017,0,0
0.133518,-0.227765,0,0
0.133518,-0.181514,0,0
0.133518,-0.135263,0,0
0.133518,-0.0890118,0,0
0.133518,-0.0427606,0,0
0.133518,0.00349066,0,0
0.133518,0.0497419,0,0
0.133518,0.0959931,0,0
0.133518,0.142244,0,0
0.133518,0.188496,0,0
0.133518,0.234747,0,0
0.133518,0.280998,0,0
0.133518,0.327249,0,0
0.133518,0.3735,0,0
0.133518,0.419752,0,0
0.133518,0.466003,0,0
0.133518,0.512254,0,0
0.133518,0.558505,0,0
0.133518,0.604757,0,0
0.133518,0.651008,0,0
0.133518,0.697259,0,0
0.133518,0.74351,0,0
0.133518,0.789761,0,0
0.133518,0.836013,0,0
0.133518,0.882264,0,0
0.133518,0.928515,0,0
0.133518,0.974766,0,0
0.133518,1.02102,0,0
0.133518,1.06727,0,0
0.133518,1.11352,0,0
0.133518,1.15977,0,0
0.133518,1.20602,0,0
0.133518,1.25227,0,0
0.133518,1.29852,0,0
0.133518,1.34478,0,0
0.133518,1.39103,0,0
0.133518,1.43728,0,0
0.133518,1.48353,0,0
0.148353,-3.09534,0,0
0.148353,-3.04909,0,0
0.148353,-3.00284,0,0
0.148353,-2.95659,0,0
